Mendoza of Hollywood,"Baker, Kage",1/00-- 7,7
Inheritance,"Baker, Keith",8/98-- 7.2,7.2
Paradise Alley,"Baker, Kevin",1/03-- 7.1,7.1
"Flamingo Rising, The","Baker, Larry",10/97-- 7.5,7.5
Losers Club,"Baker, Lisa S.",6/00-- 6,6
Night Inside,"Baker, Nancy",4/94-- 8.5,8.5
Raptor Red,"Bakker, Robert T.",10/95-- 7,7
Zero Day,"Baldacci, David",11/11-- 10.5,10.5
"Forgotten, The","Baldacci, David",12/12-- 10,10
"Innocent, The","Baldacci, David",12/12-- 10,10
One Summer,"Baldacci, David",9/11-- 10,10
Saving Faith,"Baldacci, David",11/99-- 10,10
Stone Cold,"Baldacci, David",11/07-- 10,10
"Forgotten, The","Baldacci, David",12/12-- 10,10
"Innocent, The","Baldacci, David",12/12-- 10,10
Simple Genius,"Baldacci, David",4/07-- 9.5,9.5
"Sixth Man, The","Baldacci, David",6/11-- 9.5,9.5
"Simple Truth, The","Baldacci, David",1/99-- 9.4,9.4
Splint Second,"Baldacci, David",11/03-- 9.1,9.1
Hour Game,"Baldacci, David",11/04-- 9,9
Last Man Standing,"Baldacci, David",12/01-- 9,9
True Blue,"Baldacci, David",11/09-- 9,9
"Winner, The","Baldacci, David",5/98-- 9,9
Absolute Power,"Baldacci, David",2/96-- 8.5,8.5
Total Control,"Baldacci, David",2/97-- 8.5,8.5
"Collectors, The","Baldacci, David",10/06-- 8,8
Hell's Corner,"Baldacci, David",11/10-- 8,8
"Whole Truth, The","Baldacci, David",4/08-- 8,8
Divine Justice,"Baldacci, David",12/08-- 7.9,7.9
"Christmas Train, The","Baldacci, David",11/02-- 7.8,7.8
"Camel Club, The","Baldacci, David",12/05-- 7.5,7.5
Wish You Well,"Baldacci, David",11/00-- 7,7
Jake & Mimi,"Baldwin, Frank",2/03-- 9,9
